,numDots,subdomainLevel,pathLevel,urlLength,numDash,numDashHostname,atSymbol,tildeSymbol,numUnderscore,numPercent,numQueryComponents,numApersand,numHash,numNumericChars,noHttps,ipAddress,domainInSubdomains,domainInPaths,httpsInHostname,hostNameLength,pathLength,queryLength,doubleSlash,type
57,1.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,17.0,18.0,0.0,0.0,0.0
58,2.0,1.0,6.0,121.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,9.0,121.0,0.0,0.0,0.0
59,1.0,1.0,5.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,1.0,,6.0,47.0,0.0,0.0,0.0
60,4.0,3.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,18.0,7.0,0.0,1.0,1.0
61,3.0,2.0,2.0,172.0,10.0,0.0,0.0,0.0,1.0,0.0,9.0,8.0,0.0,33.0,1.0,None,0.0,0.0,,16.0,10.0,138.0,1.0,1.0
62,2.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,9.0,24.0,0.0,0.0,0.0
63,2.0,2.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,28.0,29.0,0.0,0.0,0.0
64,1.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,18.0,19.0,0.0,0.0,0.0
65,4.0,3.0,2.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,26.0,11.0,0.0,1.0,1.0
66,2.0,2.0,3.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,False,14.0,18.0,0.0,1.0,1.0
67,2.0,1.0,6.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,False,0.0,0.0,,14.0,50.0,0.0,0.0,0.0
68,3.0,2.0,2.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,False,0.0,0.0,,17.0,17.0,13.0,1.0,1.0
69,3.0,2.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,False,0.0,0.0,,15.0,29.0,0.0,0.0,0.0
70,1.0,1.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,0.0,0.0,,12.0,32.0,0.0,0.0,0.0
71,2.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,29.0,30.0,0.0,0.0,0.0
72,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,20.0,20.0,0.0,0.0,1.0
73,1.0,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,9.0,18.0,14.0,0.0,0.0
74,1.0,1.0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,12.0,38.0,0.0,0.0,0.0
75,1.0,1.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,False,0.0,0.0,,13.0,40.0,0.0,0.0,0.0
76,2.0,2.0,2.0,67.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,False,0.0,0.0,,15.0,67.0,0.0,0.0,0.0
77,2.0,1.0,2.0,120.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,1.0,False,0.0,0.0,,15.0,120.0,0.0,0.0,0.0
78,2.0,2.0,5.0,112.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,21.0,112.0,0.0,0.0,0.0
79,3.0,1.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,False,0.0,1.0,,17.0,26.0,23.0,0.0,0.0
80,2.0,2.0,4.0,66.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,False,0.0,1.0,,19.0,40.0,0.0,1.0,1.0
81,2.0,2.0,3.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,,33.0,65.0,0.0,0.0,0.0
82,1.0,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.0,0.0,,11.0,17.0,13.0,0.0,0.0
83,1.0,1.0,2.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,20.0,21.0,0.0,0.0,0.0
84,1.0,1.0,3.0,104.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,False,0.0,0.0,,10.0,104.0,0.0,0.0,0.0
85,2.0,1.0,5.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,False,0.0,0.0,,10.0,58.0,0.0,0.0,0.0
